,name,code
1029,EG,037370
1030,GST,083450
1031,HB솔루션,297890
1032,HK이노엔,195940
1033,ITX-AI,099520
1034,KMH,122450
1035,SDN,099220
1036,가비아,079940
1037,감성코퍼레이션,036620
1038,경남스틸,039240
1039,경동제약,011040
1040,공구우먼,366030
1041,글로벌텍스프리,204620
1042,나노캠텍,091970
1043,내츄럴엔도텍,168330
1044,네오셈,253590
1045,네오위즈홀딩스,042420
1046,네이블커뮤니케이션즈,153460
1047,넥스턴바이오,089140
1048,넥스트BT,065170
1049,뉴프렉스,085670
1050,대성엘텍,025440
1051,대신밸런스제11호스팩,397500
1052,대양전기공업,108380
1053,대주산업,003310
1054,덕산테코피아,317330
1055,동진쎄미켐,005290
1056,디바이스이엔지,187870
1057,디알젬,263690
1058,램테크놀러지,171010
1059,레이크머티리얼즈,281740
1060,레인보우로보틱스,277810
1061,로지시스,067730
1062,링네트,042500
1063,마이크로프랜드,147760
1064,매직마이크로,127160
1065,메가스터디교육,215200
1066,메드팩토,235980
1067,메디톡스,086900
1068,메이슨캐피탈,021880
1069,멜파스,096640
1070,모베이스전자,012860
1071,모아데이타,288980
1072,모헨즈,006920
1073,미코,059090
1074,민앤지,214180
1075,바른손,018700
1076,바이넥스,053030
1077,바이브컴퍼니,301300
1078,바이오톡스텍,086040
1079,바이온,032980
1080,베노홀딩스,206400
1081,블루콤,033560
1082,비보존 헬스케어,082800
1083,비에이치아이,083650
1084,사람인에이치알,143240
1085,삼지전자,037460
1086,삼천당제약,000250
1087,상상인인더스트리,101000
1088,상아프론테크,089980
1089,새로닉스,042600
1090,서연탑메탈,019770
1091,서울반도체,046890
1092,서울전자통신,027040
1093,서원인텍,093920
1094,서호전기,065710
1095,세아메카닉스,396300
1096,세틀뱅크,234340
1097,센코,347000
1098,셀트리온헬스케어,091990
1099,소마젠,950200
1100,슈프리마에이치큐,094840
1101,스포츠서울,039670
1102,시그네틱스,033170
1103,시노펙스,025320
1104,시스웍,269620
1105,신원종합개발,017000
1106,신한제7호스팩,366330
1107,씨아이에스,222080
1108,씨앤지하이테크,264660
1109,씨엔알리서치,359090
1110,아세아텍,050860
1111,아시아종묘,154030
1112,아우딘퓨쳐스,227610
1113,아이에이,038880
1114,아이엘사이언스,307180
1115,아이원스,114810
1116,아이진,185490
1117,아이큐어,175250
1118,아이크래프트,052460
1119,아이톡시,052770
1120,알에스오토메이션,140670
1121,알톤스포츠,123750
1122,액션스퀘어,205500
1123,에스디생명공학,217480
1124,에스씨엠생명과학,298060
1125,에스엔유,080000
1126,에스텍파마,041910
1127,에이스테크,088800
1128,에이치엠씨제5호스팩,353060
1129,에이프로,262260
1130,에프앤리퍼블릭,064090
1131,엑스큐어,070300
1132,엔시스,333620
1133,엔에스,217820
1134,엔피디,198080
1135,엘비루셈,376190
1136,엘앤씨바이오,290650
1137,엘오티베큠,083310
1138,엠브레인,169330
1139,엠투아이,347890
1140,엠플러스,259630
1141,예스24,053280
1142,오가닉티코스메틱,900300
1143,오르비텍,046120
1144,오스테오닉,226400
1145,오토앤,353590
1146,오하임아이엔티,309930
1147,옵트론텍,082210
1148,와이아이케이,232140
1149,와이어블,065530
1150,와이팜,332570
1151,우리산업홀딩스,072470
1152,우양,103840
1153,원방테크,053080
1154,원익홀딩스,030530
1155,유네코,064510
1156,유니트론텍,142210
1157,유아이디,069330
1158,유앤아이,056090
1159,유일에너테크,340930
1160,유진스팩6호,373340
1161,이루온,065440
1162,이수앱지스,086890
1163,이엔에프테크놀로지,102710
1164,이엘피,063760
1165,이엠앤아이,083470
1166,이큐셀,160600
1167,이트론,096040
1168,인터파크,035080
1169,잉글우드랩,950140
1170,제너셈,217190
1171,제노레이,122310
1172,제로투세븐,159580
1173,제룡전기,033100
1174,제주맥주,276730
1175,젬백스,082270
1176,젬백스지오,041590
1177,지란지교시큐리티,208350
1178,지엔코,065060
1179,지오엘리먼트,311320
1180,참좋은여행,094850
1181,칩스앤미디어,094360
1182,컴퍼니케이,307930
1183,케이사인,192250
1184,케이씨에스,115500
1185,케이아이엔엑스,093320
1186,케이티비네트워크,298870
